gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
-1018,619,-131,-15920,380,2440,0,0,0,4843,287,145,-15848,236,3436,0,0,0,0,0,0,0,0,0,0,0,0
-119,1734,-261,-15820,324,1480,0,0,0,5605,1474,37,-15740,460,3016,0,0,0,0,0,0,0,0,0,0,0,0
-235,1447,-228,-15744,304,1464,0,0,0,5500,1228,68,-15696,360,2920,0,0,0,0,0,0,0,0,0,0,0,0
-301,2692,-274,-15888,484,1148,0,0,0,5494,2485,91,-15720,448,2664,0,0,0,0,0,0,0,0,0,0,0,0
-243,805,-227,-15976,416,796,0,0,0,5494,469,61,-15912,432,2160,0,0,0,0,0,0,0,0,0,0,0,0
-176,511,-228,-15872,396,756,0,0,0,5578,315,39,-15816,564,2228,0,0,0,0,0,0,0,0,0,0,0,0
-403,1233,-206,-15868,392,228,0,0,0,5363,1059,74,-15660,404,1592,0,0,0,0,0,0,0,0,0,0,0,0
-204,1394,-264,-16000,392,408,0,0,0,5541,1077,31,-15900,536,1988,0,0,0,0,0,0,0,0,0,0,0,0
-342,1843,-236,-16004,604,712,0,0,0,5332,1589,74,-15836,732,2432,0,0,0,0,0,0,0,0,0,0,0,0
-680,1211,-214,-15800,300,-664,0,0,0,5159,1001,87,-15884,356,768,0,0,0,0,0,0,0,0,0,0,0,0
-226,467,-228,-16120,420,192,0,0,0,5463,185,64,-15972,484,1648,0,0,0,0,0,0,0,0,0,0,0,0
-639,-105,-198,-15844,412,-220,0,0,0,5153,-352,103,-15744,524,1052,0,0,0,0,0,0,0,0,0,0,0,0
-134,84,-227,-16000,360,20,0,0,0,5601,-144,50,-15844,472,1404,0,0,0,0,0,0,0,0,0,0,0,0
-118,725,-219,-15872,320,12,0,0,0,5599,492,58,-15748,456,1476,0,0,0,0,0,0,0,0,0,0,0,0
-156,260,-247,-15972,420,-148,0,0,0,5562,-42,46,-15952,448,1412,0,0,0,0,0,0,0,0,0,0,0,0
-131,407,-231,-15960,292,-140,0,0,0,5623,162,77,-15948,452,1300,0,0,0,0,0,0,0,0,0,0,0,0
-150,86,-229,-15968,312,-24,0,0,0,5601,-164,56,-15824,480,1216,0,0,0,0,0,0,0,0,0,0,0,0
-147,-170,-230,-15968,364,-164,0,0,0,5580,-409,44,-15892,532,1228,0,0,0,0,0,0,0,0,0,0,0,0
-148,-143,-209,-15968,460,-164,0,0,0,5596,-391,44,-15820,444,1204,0,0,0,0,0,0,0,0,0,0,0,0
-129,-1003,-195,-16068,272,-208,0,0,0,5609,-1288,40,-15980,532,1256,0,0,0,0,0,0,0,0,0,0,0,0
-144,-2619,-203,-16168,328,-12,0,0,0,5558,-2975,46,-16096,408,1424,0,0,0,0,0,0,0,0,0,0,0,0
-146,-4726,-140,-15936,372,656,0,0,0,5537,-5081,63,-15840,560,2076,0,0,0,0,0,0,0,0,0,0,0,0
-158,-6381,-106,-15948,332,1340,0,0,0,5509,-6744,71,-15788,532,2868,0,0,0,0,0,0,0,0,0,0,0,0
-200,-7178,-79,-15712,408,2440,0,0,0,5468,-7560,103,-15564,520,3752,0,0,0,0,0,0,0,0,0,0,0,0
-162,-9069,-43,-15484,484,3172,0,0,0,5486,-9612,87,-15340,432,4660,0,0,0,0,0,0,0,0,0,0,0,0
-162,-11847,21,-14984,332,4952,0,0,0,5467,-12260,120,-14792,356,6232,0,0,0,0,0,0,0,0,0,0,0,0
-130,-13278,1,-14248,480,6680,0,0,0,5417,-13795,47,-13988,512,7780,0,0,0,0,0,0,0,0,0,0,0,0
-137,-13146,-24,-13156,480,8464,0,0,0,5453,-13573,68,-12760,436,9596,0,0,0,0,0,0,0,0,0,0,0,0
