gyro_0,gyro_1,gyro_2,accel_0,accel_1,accel_2,mag_0,mag_1,mag_2
0.001065,0.001065,-0.001065,-0.059375,10.17125,0.26625,0,0,0
0.0,0.002131,0.0,-0.0375,10.156875,0.25375,0,0,0
0.001065,0.0,0.0,-0.043125,10.150625,0.261875,0,0,0
0.0,0.0,-0.001065,-0.056875,10.155625,0.27,0,0,0
-0.001065,0.0,-0.001065,-0.07,10.156875,0.25875,0,0,0
0.0,0.0,0.0,-0.024375,10.170625,0.261875,0,0,0
0.001065,0.001065,0.0,-0.05375,10.163125,0.263125,0,0,0
0.0,0.001065,0.0,-0.050625,10.16,0.2625,0,0,0
0.0,0.001065,-0.001065,-0.04125,10.1525,0.27625,0,0,0
0.0,0.001065,-0.001065,-0.071875,10.154375,0.26125,0,0,0
-0.001065,0.001065,-0.001065,-0.033125,10.166875,0.261875,0,0,0
0.0,0.0,0.0,-0.03625,10.16375,0.269375,0,0,0
0.0,0.0,-0.001065,-0.07375,10.148125,0.27375,0,0,0
0.0,0.0,0.0,-0.058125,10.159375,0.25125,0,0,0
-0.001065,0.0,-0.001065,-0.033125,10.149375,0.2675,0,0,0
0.0,0.001065,-0.002131,-0.053125,10.15,0.2575,0,0,0
-0.001065,0.0,0.0,-0.038125,10.179375,0.289375,0,0,0
0.0,0.001065,0.0,-0.0975,10.153125,0.243125,0,0,0
-0.001065,-0.001065,0.0,-0.00875,10.175625,0.253125,0,0,0
-0.001065,0.0,0.0,-0.031875,10.164375,0.26,0,0,0
0.0,0.0,-0.001065,-0.0825,10.150625,0.2575,0,0,0
0.0,0.0,-0.001065,-0.03,10.1725,0.285625,0,0,0
-0.001065,0.0,0.0,-0.04625,10.150625,0.251875,0,0,0
0.0,0.001065,-0.001065,-0.06,10.154375,0.263125,0,0,0
0.001065,0.001065,0.0,-0.034375,10.165,0.283125,0,0,0
-0.001065,0.0,0.001065,-0.065,10.17625,0.25875,0,0,0
0.0,0.001065,0.0,-0.0625,10.143125,0.24625,0,0,0
0.0,0.001065,0.0,-0.03125,10.16125,0.250625,0,0,0
0.0,0.001065,0.0,-0.036875,10.160625,0.26875,0,0,0
0.0,0.001065,-0.001065,-0.064375,10.16,0.27125,0,0,0
-0.001065,-0.001065,0.0,-0.048125,10.16375,0.261875,0,0,0
-0.001065,0.0,0.0,-0.0475,10.171875,0.255,0,0,0
-0.001065,0.0,0.0,-0.035,10.16125,0.245625,0,0,0
0.0,0.0,-0.001065,-0.048125,10.168125,0.255,0,0,0
-0.001065,0.0,-0.002131,-0.07875,10.170625,0.265625,0,0,0
0.0,0.002131,-0.001065,-0.045,10.14875,0.261875,0,0,0
-0.001065,0.001065,0.001065,-0.021875,10.1625,0.2675,0,0,0
0.001065,0.001065,0.0,-0.054375,10.160625,0.279375,0,0,0
0.0,0.001065,0.0,-0.07625,10.15875,0.259375,0,0,0
-0.002131,0.0,0.001065,-0.038125,10.156875,0.26625,0,0,0
0.0,0.0,0.0,-0.04,10.169375,0.264375,0,0,0
0.001065,0.001065,0.0,-0.05375,10.158125,0.265625,0,0,0
0.0,0.001065,0.0,-0.050625,10.16375,0.270625,0,0,0
0.001065,0.0,0.0,-0.05375,10.1575,0.25625,0,0,0
